"Story","Title","Result","Date","Stability","Duration (s)"
"Create update","User supplies correct data for Post data","ERROR","2019-03-24T15:27:48.413+07:00[Asia/Jakarta]","0.0","8.72"
"Create update","User supplies correct data for Put data","ERROR","2019-03-24T15:27:57.624+07:00[Asia/Jakarta]","0.0","0.12"
"Create update","User supplies correct data for Patch data","ERROR","2019-03-24T15:27:57.759+07:00[Asia/Jakarta]","0.0","0.09"
"Get users","User supplies correct URI and request command list users","ERROR","2019-03-24T15:28:03.579+07:00[Asia/Jakarta]","0.0","0.19"
"Get users","User supplies correct URI and request command single user","ERROR","2019-03-24T15:28:03.779+07:00[Asia/Jakarta]","0.0","0.07"
"Get users","User supplies correct URI and id not found","ERROR","2019-03-24T15:28:03.864+07:00[Asia/Jakarta]","0.0","0.09"
"Get users","User supplies correct URI and request command get delayed response","ERROR","2019-03-24T15:28:03.964+07:00[Asia/Jakarta]","0.0","0.31"
"Login","User supplies correct user name and password","ERROR","2019-03-24T15:28:05.312+07:00[Asia/Jakarta]","0.0","0.06"
"Login","User does NOT supply correct user name and password","ERROR","2019-03-24T15:28:05.379+07:00[Asia/Jakarta]","0.0","0.05"
"Register","User supplies correct data for register","ERROR","2019-03-24T15:28:04.749+07:00[Asia/Jakarta]","0.0","0.08"
"Register","User does NOT supply correct data for register","ERROR","2019-03-24T15:28:04.839+07:00[Asia/Jakarta]","0.0","0.04"
